"UF";"Valor Transferido";
"DF";"R$ 112.917.749,13";
"RR";"R$ 321.508.154,34";
"AP";"R$ 362.831.744,05";
"AC";"R$ 392.187.440,39";
"RO";"R$ 477.507.737,39";
"MS";"R$ 570.938.582,59";
"TO";"R$ 629.107.163,03";
"SE";"R$ 629.107.982,81";
"ES";"R$ 692.653.584,83";
"AM";"R$ 742.641.368,62";
"MU";"R$ 803.215.204,77";
"RN";"R$ 807.724.401,63";
"PI";"R$ 921.925.369,76";
"SC";"R$ 977.864.151,21";
"AL";"R$ 1.051.458.401,28";
"MT";"R$ 1.052.574.355,11";
"PB";"R$ 1.054.317.506,69";
"GO";"R$ 1.090.566.845,39";
"PE";"R$ 1.475.708.534,70";
"RJ";"R$ 1.627.008.759,83";
"RS";"R$ 1.671.371.742,24";
"CE";"R$ 1.715.910.878,35";
"PR";"R$ 1.770.805.591,07";
"MA";"R$ 1.780.260.259,67";
"PA";"R$ 1.903.299.415,84";
"BA";"R$ 2.777.988.546,97";
"MG";"R$ 3.100.509.000,26";
"SP";"R$ 3.113.536.467,09";
"-3";"R$ 10.003.163.098,81";
