UF,Valor Transferido
-3,"10003163098,81"
AC,"392187440,39"
AL,"1051458401,28"
AM,"742641368,62"
AP,"362831744,05"
BA,"2777988546,97"
CE,"1715910878,35"
DF,"112917749,13"
ES,"692653584,83"
GO,"1090566845,39"
MA,"1780260259,67"
MG,"3100509000,26"
MS,"570938582,59"
MT,"1052574355,11"
MU,"803215204,77"
PA,"1903299415,84"
PB,"1054317506,69"
PE,"1475708534,7"
PI,"921925369,76"
PR,"1770805591,07"
RJ,"1627008759,83"
RN,"807724401,63"
RO,"477507737,39"
RR,"321508154,34"
RS,"1671371742,24"
SC,"977864151,21"
SE,"629107982,81"
SP,"3113536467,09"
TO,"629107163,03"
