UF,Valor Transferido
AC,"3529226603,04"
AL,"7720007109,58"
AP,"3242021706,08"
AM,"5922201063,94"
BA,"25095674828,8"
CE,"15279448474,28"
DF,"5333857601,01"
ES,"7347710741,61"
GO,"8202871891,62"
MA,"14381806817,71"
MT,"5429982938,89"
MS,"4356893305,13"
MG,"25602551967,52"
PA,"13928128777,73"
PB,"8446533243,94"
PR,"14056995747,79"
PE,"15319726904,5"
PI,"7719280178,42"
RJ,"25921951308,06"
RN,"7517898165,78"
RS,"13085492798,17"
RO,"3715893738,88"
RR,"2552279349,9"
SC,"7686003949,73"
SP,"32337599705,97"
SE,"5786490900,23"
TO,"5300779122,39"
OU,"1042692108,3"
MU,"-64997836,11"
-3,"295797003212,89"
